strategy_id,basket_id,start_date,entry_count,planned_capital,deployed_capital,cash_remainder,current_stock_value,realized_value,total_equity,gross_pnl,net_pnl_estimated,gross_return_pct,net_return_pct_estimated,open_positions,exited_positions,best_lot,worst_lot,is_immature,false_exit_count,entry_failure_count,open_winner_count,open_risk_count,market_reversal_count,data_quality_issue_count,duplicate_ticker_count,unique_ticker_count
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-01_5D,2026-05-01,5,500000.0,299658.0,200342.0,0,279909.5,480251.5,-19748.5,-21414.11,-3.9497,-4.2828,0,3,2464.TW,3711.TW,False,3,0,0,0,0,2,3,2
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-02_5D,2026-05-02,5,500000.0,399618.0,100382.0,144525.5,279909.5,524817.0,24817.0,22369.42,4.9634,4.4739,1,3,2464.TW,3711.TW,False,3,0,1,0,0,1,4,2
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-05_5D,2026-05-05,5,500000.0,499518.0,482.0,144525.5,364869.5,509877.0,9877.0,6911.11,1.9754,1.3822,1,4,2464.TW,3711.TW,False,4,0,1,0,0,0,5,2
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-07_5D,2026-05-07,5,500000.0,499628.4,371.6,263027.3,274245.5,537644.4,37644.4,34554.98,7.5289,6.911,2,3,2464.TW,3711.TW,False,3,0,2,0,0,0,4,3
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-08_5D,2026-05-08,5,500000.0,499559.4,440.6,370633.3,186925.5,557999.4,57999.4,54820.31,11.5999,10.9641,3,2,2464.TW,3711.TW,False,2,0,3,0,0,0,2,4
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-11_5D,2026-05-11,5,500000.0,499569.9,430.1,476855.3,84960.0,562245.4,62245.4,59047.45,12.4491,11.8095,4,1,2464.TW,3711.TW,False,1,0,4,0,0,0,2,4
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-12_5D,2026-05-12,5,500000.0,399609.9,100390.1,332329.8,84960.0,517679.9,17679.9,15263.92,3.536,3.0528,3,1,2356.TW,3711.TW,True,1,0,3,0,0,1,2,3
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-13_5D,2026-05-13,5,500000.0,299709.9,200290.1,332329.8,0,532619.9,32619.9,30722.23,6.524,6.1444,3,0,2356.TW,3413.TW,True,0,0,3,0,0,2,2,2
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-14_5D,2026-05-14,5,500000.0,199759.5,300240.5,213828.0,0,514068.5,14068.5,12837.64,2.8137,2.5675,2,0,3413.TW,3413.TW,True,0,0,2,0,0,3,2,1
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-15_5D,2026-05-15,5,500000.0,99928.5,400071.5,106222.0,0,506293.5,6293.5,5681.06,1.2587,1.1362,1,0,3413.TW,3413.TW,True,0,0,1,0,0,4,0,1
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-17_5D,2026-05-17,5,500000.0,0,500000.0,0,0,500000.0,0,0,0.0,0.0,0,0,,,True,0,0,0,0,0,5,0,0
