strategy_id,basket_id,entry_index,entry_date,ticker,name,rank,market_state,entry_signal,role,position_grade,planned_entry_capital,entry_price,shares,actual_cost,unused_cash,atr20_at_entry,initial_stop,highest_close_since_entry,trailing_stop,exit_model,exit_date,exit_price,exit_reason,holding_days,current_price,current_value,realized_pnl,unrealized_pnl,gross_pnl,gross_return_pct,estimated_buy_fee,estimated_sell_fee,estimated_tax,estimated_net_pnl,max_profit_seen,max_drawdown_seen,r_multiple,data_quality_flag,data_quality_note,is_immature,next_1d_return,next_3d_return,post_exit_max_return,post_exit_high_after_exit,days_to_post_exit_high,post_trade_label
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-14_5D,2,2026-05-15,3413.TW,京鼎,Top1,BULL,BUY,UNKNOWN,A,100000.0,325.5,307,99928.5,71.5,12.275,307.09,349.0,324.45,ATR_TRAILING,,,OPEN_POSITION,7,346.0,106222.0,,6293.5,6293.5,6.298,142.4,151.37,318.67,5681.06,7214.5,-3530.5,1.114,PASS,,True,-0.009217,-0.03533,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-14_5D,3,2026-05-17,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-17,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-14_5D,4,2026-05-21,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-21,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-14_5D,5,2026-05-22,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-22,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-15_5D,1,2026-05-15,3413.TW,京鼎,Top1,BULL,BUY,UNKNOWN,A,100000.0,325.5,307,99928.5,71.5,12.275,307.09,349.0,324.45,ATR_TRAILING,,,OPEN_POSITION,7,346.0,106222.0,,6293.5,6293.5,6.298,142.4,151.37,318.67,5681.06,7214.5,-3530.5,1.114,PASS,,True,-0.009217,-0.03533,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-15_5D,2,2026-05-17,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-17,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-15_5D,3,2026-05-21,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-21,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-15_5D,4,2026-05-22,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-22,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-15_5D,5,2026-05-25,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-25,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-17_5D,1,2026-05-17,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-17,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-17_5D,2,2026-05-21,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-21,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-17_5D,3,2026-05-22,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-22,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-17_5D,4,2026-05-25,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-25,True,,,,,,DATA_QUALITY_ISSUE
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-17_5D,5,2026-05-26,,,Top1,,,,C,,,0,0,,,,,,ATR_TRAILING,,,DATA_INCOMPLETE,,,,,,,,0.0,,,,,,,FAIL,missing daily report 2026-05-26,True,,,,,,DATA_QUALITY_ISSUE
